Key,File,Type,UsedInMainMenu,NoTranslate,english,Context / Alternate Text,german,spanish,french,italian,japanese,koreana,polish,brazilian,russian,turkish,schinese,tchinese
cntSteelBevelInsecure,blocks,block,,,"Steel Storage Crate Insecure  [ddcdfa](168) - Cupboard Corner",n/a  [ddcdfa](168) - n/a,"Stahl-Aufbewahrungskiste, unsicher  [ddcdfa](168) - Schrank – Ecke","Embalaje de almacenamiento de acero no asegurado  [ddcdfa](168) - Esquina de despensa","Caisse de rangement en acier non sécurisée  [ddcdfa](168) - Coin de placard","Cassa di stoccaggio d'acciaio pericolante  [ddcdfa](168) - Credenza angolare","鉄鋼製ストレージ（鍵無し）  [ddcdfa](168) - カップボード（コーナー）","강철 보관함 잠기지 않음  [ddcdfa](168) - 찬장 모서리","Skrzynia na towary – żelazna, niezabezpieczona  [ddcdfa](168) - Kredens – róg","Caixote inseguro de deposito de aço  [ddcdfa](168) - Canto de guarda-louça","Ненадежный стальной складской ящик  [ddcdfa](168) - Угловой буфет","Çelik Depolama Sandığı, Korumasız  [ddcdfa](168) - Büfe Köşe","不结实的钢储藏箱  [ddcdfa](168) - 碗柜 拐角","不安全的鋼儲藏箱  [ddcdfa](168) - 碗櫥轉角"
cntSteelBuffetInsecure,blocks,block,,,"Steel Storage Crate Insecure  [ddcdfa](168) - Buffet Counter",n/a  [ddcdfa](168) - n/a,"Stahl-Aufbewahrungskiste, unsicher  [ddcdfa](168) - Buffet-Theke","Embalaje de almacenamiento de acero no asegurado  [ddcdfa](168) - Mostrador de bufet","Caisse de rangement en acier non sécurisée  [ddcdfa](168) - Comptoir de buffet","Cassa di stoccaggio d'acciaio pericolante  [ddcdfa](168) - Banco del buffet","鉄鋼製ストレージ（鍵無し）  [ddcdfa](168) - ブッフェ（カウンター）","강철 보관함 잠기지 않음  [ddcdfa](168) - 뷔페 카운터","Skrzynia na towary – żelazna, niezabezpieczona  [ddcdfa](168) - Lada bufetowa","Caixote inseguro de deposito de aço  [ddcdfa](168) - Balcão de bufê","Ненадежный стальной складской ящик  [ddcdfa](168) - Стойка буфета","Çelik Depolama Sandığı, Korumasız  [ddcdfa](168) - Açık Büfe Tezgâhı","不结实的钢储藏箱  [ddcdfa](168) - 自助餐柜台","不安全的鋼儲藏箱  [ddcdfa](168) - 自助餐櫃檯"
cntSteelSinkRoundInsecure,blocks,block,,,"Steel Storage Crate Insecure  [ddcdfa](168) - Counter Sink Hole Round",n/a  [ddcdfa](168) - n/a,"Stahl-Aufbewahrungskiste, unsicher  [ddcdfa](168) - Eingelassenes Waschbecken – rundes Loch","Embalaje de almacenamiento de acero no asegurado  [ddcdfa](168) - Fregadero de encimera con hoyo redondo","Caisse de rangement en acier non sécurisée  [ddcdfa](168) - Évier de comptoir, trou rond","Cassa di stoccaggio d'acciaio pericolante  [ddcdfa](168) - Lavandino con bancone arrotondato con foro","鉄鋼製ストレージ（鍵無し）  [ddcdfa](168) - カウンター（シンク・穴・丸型）","강철 보관함 잠기지 않음  [ddcdfa](168) - 카운터 싱크대 구멍 원형","Skrzynia na towary – żelazna, niezabezpieczona  [ddcdfa](168) - Lada – zlew, dziura, okrągła","Caixote inseguro de deposito de aço  [ddcdfa](168) - Buraco de pia de balcão redondo","Ненадежный стальной складской ящик  [ddcdfa](168) - Основание для мойки с круглым отверстием","Çelik Depolama Sandığı, Korumasız  [ddcdfa](168) - Tezgah Eviye Deliği Yuvarlak","不结实的钢储藏箱  [ddcdfa](168) - 柜台 水槽 有洞 圆弧","不安全的鋼儲藏箱  [ddcdfa](168) - 櫃檯盥洗盆圓孔"
cntSteelHollowTopInsecure,blocks,block,,,"Steel Storage Crate Insecure  [ddcdfa](168) - Counter Hollow Top",n/a  [ddcdfa](168) - n/a,"Stahl-Aufbewahrungskiste, unsicher  [ddcdfa](168) - Theke – hohl, oben","Embalaje de almacenamiento de acero no asegurado  [ddcdfa](168) - Parte superior de encimera hueca","Caisse de rangement en acier non sécurisée  [ddcdfa](168) - Comptoir creux, haut","Cassa di stoccaggio d'acciaio pericolante  [ddcdfa](168) - Parte superiore vuota del banco","鉄鋼製ストレージ（鍵無し）  [ddcdfa](168) - カウンター（中空・上部）","강철 보관함 잠기지 않음  [ddcdfa](168) - 카운터 비어있음 상단","Skrzynia na towary – żelazna, niezabezpieczona  [ddcdfa](168) - Lada – pusta, góra","Caixote inseguro de deposito de aço  [ddcdfa](168) - Topo oco de balcão","Ненадежный стальной складской ящик  [ddcdfa](168) - Верх пустой стойки","Çelik Depolama Sandığı, Korumasız  [ddcdfa](168) - Tezgâh Oyuk Üst","不结实的钢储藏箱  [ddcdfa](168) - 柜台 中空 顶部","不安全的鋼儲藏箱  [ddcdfa](168) - 櫃檯空心頂部"
cntSteelBevelBookCaseInsecure,blocks,block,,,"Steel Storage Crate Insecure  [ddcdfa](168) - Cube Corner Beveled Bookcase Full",n/a  [ddcdfa](168) - n/a,"Stahl-Aufbewahrungskiste, unsicher  [ddcdfa](168) - Würfel – Ecke, abgeschrägt, Bücherregal – voll","Embalaje de almacenamiento de acero no asegurado  [ddcdfa](168) - Esquina de cubo biselado de estantería llena","Caisse de rangement en acier non sécurisée  [ddcdfa](168) - Angle de cube, biseauté, bibliothèque pleine","Cassa di stoccaggio d'acciaio pericolante  [ddcdfa](168) - Angolo del cubo smussato con libreria piena","鉄鋼製ストレージ（鍵無し）  [ddcdfa](168) - キューブ（コーナー・斜角・ブックケース・満タン）","강철 보관함 잠기지 않음  [ddcdfa](168) - 육면체 모서리 경사 책장 꽉 참","Skrzynia na towary – żelazna, niezabezpieczona  [ddcdfa](168) - Sześcian – róg, faseta, regał na książki, pełny","Caixote inseguro de deposito de aço  [ddcdfa](168) - Estante de livros cheia biselada de cubo de canto","Ненадежный стальной складской ящик  [ddcdfa](168) - Куб с полным книжным шкафом, срезанный угол","Çelik Depolama Sandığı, Korumasız  [ddcdfa](168) - Küp Köşe Pahlı Kitaplık, Dolu","不结实的钢储藏箱  [ddcdfa](168) - 方块 拐角 斜角 书架 完整","不安全的鋼儲藏箱  [ddcdfa](168) - 完整方塊角斜面書櫃"
cntSteelBookCaseInsecure,blocks,block,,,"Steel Storage Crate Insecure  [ddcdfa](168) - Bookcase Full",n/a  [ddcdfa](168) - n/a,"Stahl-Aufbewahrungskiste, unsicher  [ddcdfa](168) - Bücherregal – voll","Embalaje de almacenamiento de acero no asegurado  [ddcdfa](168) - Estantería llena","Caisse de rangement en acier non sécurisée  [ddcdfa](168) - Bibliothèque pleine","Cassa di stoccaggio d'acciaio pericolante  [ddcdfa](168) - Libreria piena","鉄鋼製ストレージ（鍵無し）  [ddcdfa](168) - ブックケース（満タン）","강철 보관함 잠기지 않음  [ddcdfa](168) - 책장 꽉참","Skrzynia na towary – żelazna, niezabezpieczona  [ddcdfa](168) - Regał na książki – pełny","Caixote inseguro de deposito de aço  [ddcdfa](168) - Estante de livros cheia","Ненадежный стальной складской ящик  [ddcdfa](168) - Полный книжный шкаф","Çelik Depolama Sandığı, Korumasız  [ddcdfa](168) - Kitaplık Dolu","不结实的钢储藏箱  [ddcdfa](168) - 书架 完整","不安全的鋼儲藏箱  [ddcdfa](168) - 滿書櫃"
cntSteelMorticianDrawerInsecure,blocks,block,,,"Steel Storage Crate Insecure  [ddcdfa](168) - Mortician Drawer",n/a  [ddcdfa](168) - n/a,"Stahl-Aufbewahrungskiste, unsicher  [ddcdfa](168) - Leichenbestatter-Schublade","Embalaje de almacenamiento de acero no asegurado  [ddcdfa](168) - Cajón del funerario","Caisse de rangement en acier non sécurisée  [ddcdfa](168) - Tiroir croque-mort","Cassa di stoccaggio d'acciaio pericolante  [ddcdfa](168) - Cassetto del becchino","鉄鋼製ストレージ（鍵無し）  [ddcdfa](168) - 葬儀屋の引き出し","강철 보관함 잠기지 않음  [ddcdfa](168) - 장의사용 서랍","Skrzynia na towary – żelazna, niezabezpieczona  [ddcdfa](168) - Szuflada kostnicy","Caixote inseguro de deposito de aço  [ddcdfa](168) - Gaveta de agente funerário","Ненадежный стальной складской ящик  [ddcdfa](168) - Ящик гробовщика","Çelik Depolama Sandığı, Korumasız  [ddcdfa](168) - Morg Çekmecesi","不结实的钢储藏箱  [ddcdfa](168) - 殡葬业者抽屉","不安全的鋼儲藏箱  [ddcdfa](168) - 送葬者抽屜"
perkPackMuleRank1LongDesc,progression,perk Str,,,"Who has time to organize their stuff perfectly?\nCarry three more items without being encumbered.\nIncreases the crafting speed of items from your inventory by 10%.\nYour pack has a 5% chance to ignore physical damage when hit.\n\n[DECEA3]AGF Backpack Mod: -7 Encumbered Slots[-]",,"Wer hat schon Zeit, das ganze Zeug schön zu ordnen?\nDu kannst drei Gegenstände mehr tragen, bevor du überbelastet wirst.\nErhöht die Fertigungsgeschwindigkeit für Gegenstände aus deinem Inventar um 10 %.\nDein Rucksack hat eine Chance von 5 %, körperlichen Schaden beim Treffer zu ignorieren.\n\n[DECEA3]AGF Rucksack Mod: -7 Überlastet Slots[-]","¿Quién tiene tiempo para organizar sus cosas perfectamente?\nLleva tres artículos más sin sobrecargarte.\nAumenta un 10 % la velocidad de fabricación de objetos de tu inventario.\nTu mochila tiene un 5 % de probabilidad de ignorar el daño físico al ser golpeada.\n\n[DECEA3]AGF Mochila Modificaciones: -7 Sobreesfuerzo Slots[-]","Qui a le temps de ranger toutes ses affaires à la perfection ?\nVous portez trois objets supplémentaires sans souffrir d'encombrement.\nAugmentez la vitesse de fabrication des objets depuis votre inventaire de 10 %.\nVous avez 5 % de chance que votre sac ignore les dégâts physiques en cas de blessure.\n\n[DECEA3]AGF Sac à dos Modification: -7 Surchargé Slots[-]","Chi ha tempo di organizzare le proprie cose alla perfezione?\nTrasporta 3 oggetti in più senza sovraccaricarti.\nAumenta la velocità di creazione del tuo inventario del 10%.\nIl tuo zaino ha il 5% di probabilità di ignorare i danni fisici se colpito.\n\n[DECEA3]AGF Zaino Mod: -7 Sovraccarico Slots[-]","完璧に整理整頓する暇なんて誰にあるのでしょう？\n荷重制限がかかっている所持品スロットを3つ解放します。\n所持品内でのアイテムクラフト速度10%上昇。\nあなたのバックパックが、被弾時に5%の確率ですべてのダメージを吸収してくれます。\n\n[DECEA3]AGF バックパック MOD: -7 荷重制限 Slots[-]","자기들 물건을 완벽히 정리할 수 있는 시간을 누가 가졌겠어요?\n방해받지 않고 3개 더 많은 아이템을 소지할 수 있습니다.\n인벤토리 아이템 제작 속도가 10% 증가합니다.\n나의 팩이 5% 확률로 물리 대미지를 무시합니다.\n\n[DECEA3]AGF 백팩 모드: -7 방해받음 Slots[-]","Kto niby ma czas na porządki?\nMożesz nosić trzy dodatkowe przedmioty bez przeciążenia.\nZwiększa szybkość wytwarzania przedmiotów z ekwipunku o 10%.\nTwój plecak ma 5% szans na zniwelowanie obrażeń fizycznych po trafieniu.\n\n[DECEA3]AGF Plecak Modyfikacja: -7 Przeciążenie Slots[-]","Quem tem tempo para organizar as coisas perfeitamente?\nCarregue mais três itens sem sofrer sobrecarga.\nAumenta em 10% a velocidade de criação de itens do seu inventário.\nSua mochila tem 5% de chance de ignorar dano físico.\n\n[DECEA3]AGF Mochila Modificação: -7 Sobrecarga Slots[-]","У нормальных людей нет времени складывать свои вещи аккуратно.\nВы можете нести еще три предмета без последствий.\nПовышает скорость изготовления предметов из инвентаря на 10%.\nУ рюкзака есть шанс 5% проигнорировать физический урон при ударе.\n\n[DECEA3]AGF Рюкзак Модификация: -7 Перегрузка Slots[-]","Eşyalarını düzenli tutmaya kimin zamanı var ki?\nYükün ağır gelmeden üç öğe daha taşı.\nEnvanterindeki öğelerin üretim hızını %10 artırır.\nYükün, vurulduğunda %5 ihtimalle fiziksel hasarı yok sayar.\n\n[DECEA3]AGF Sırt Çantası Mod: -7 Ağırlaştın Slots[-]","谁有时间把自己的东西整理得完美无缺？\n可再携带三样东西，负重不受影响。\n从物品栏制作物品的速度提升 10%。\n被击中时，背包有 5% 概率免疫物理伤害。\n\n[DECEA3]AGF 背包 模组: -7 负重 Slots[-]","誰還有時間整齊整理裝備？\n可額外攜帶 3 個物品而不受負重影響。\n物品欄的物品製作速度提高 10%。\n你的背包有 5% 機率無視一次物理傷害。\n\n[DECEA3]AGF 背包 模組: -7 受阻 Slots[-]"
perkPackMuleRank2LongDesc,progression,perk Str,,,"You know it's in there somewhere.\nCarry an additional three more items without being encumbered.\nIncreases the crafting speed of items from your inventory by 20%.\nYour pack has a 10% chance to ignore physical damage when hit.\n\n[DECEA3]AGF Backpack Mod: -7 Encumbered Slots[-]",,"Du weißt, dass es irgendwo da drin ist.\nDu kannst drei weitere Gegenstände tragen, bevor du überbelastet wirst.\nErhöht die Fertigungsgeschwindigkeit für Gegenstände aus deinem Inventar um 20 %.\nDein Rucksack hat eine Chance von 10 %, körperlichen Schaden beim Treffer zu ignorieren.\n\n[DECEA3]AGF Rucksack Mod: -7 Überlastet Slots[-]","Sabes que está en alguna parte.\nLleva tres artículos más sin sobrecargarte.\nAumenta un 20 % la velocidad de fabricación de objetos de tu inventario.\nTu mochila tiene un 10 % de probabilidad de ignorar el daño físico al ser golpeada.\n\n[DECEA3]AGF Mochila Modificaciones: -7 Sobreesfuerzo Slots[-]","Vous savez bien que ça doit se trouver quelque part là-dedans.\nVous portez trois objets supplémentaires sans souffrir d'encombrement.\nAugmentez la vitesse de fabrication des objets depuis votre inventaire de 20 %.\nVous avez 10 % de chance que votre sac ignore les dégâts physiques en cas de blessure.\n\n[DECEA3]AGF Sac à dos Modification: -7 Surchargé Slots[-]","Sai che è lì da qualche parte.\nTrasporta 3 oggetti in più senza sovraccaricarti.\nAumenta la velocità di creazione del tuo inventario del 20%.\nIl tuo zaino ha il 10% di probabilità di ignorare i danni fisici se colpito.\n\n[DECEA3]AGF Zaino Mod: -7 Sovraccarico Slots[-]","中に入っていることは分かってるんです。\n荷重制限がかかっている所持品スロットを3つ解放します。\n所持品内でのアイテムクラフト速度20%上昇。\nあなたのバックパックが、被弾時に10%の確率ですべてのダメージを吸収してくれます。\n\n[DECEA3]AGF バックパック MOD: -7 荷重制限 Slots[-]","저 안 어딘가에 있는 건 확실한데 말이죠.\n방해받지 않고 3개 더 많은 아이템을 소지할 수 있습니다.\n인벤토리 아이템 제작 속도가 20% 증가합니다.\n나의 팩이 10% 확률로 물리 대미지를 무시합니다.\n\n[DECEA3]AGF 백팩 모드: -7 방해받음 Slots[-]","Przed chwilą mignęło mi przed oczami!\nMożesz nosić trzy dodatkowe przedmioty bez przeciążenia.\nZwiększa szybkość wytwarzania przedmiotów z ekwipunku o 20%.\nTwój plecak ma 10% szans na zniwelowanie obrażeń fizycznych po trafieniu.\n\n[DECEA3]AGF Plecak Modyfikacja: -7 Przeciążenie Slots[-]","Você sabe que está aí dentro em algum lugar.\nCarregue mais três itens sem sofrer sobrecarga.\nAumenta em 20% a velocidade de criação de itens do seu inventário.\nSua mochila tem 10% de chance de ignorar dano físico.\n\n[DECEA3]AGF Mochila Modificação: -7 Sobrecarga Slots[-]","Вы знаете, что эта штука где-то здесь.\nВы можете нести три дополнительных предмета без последствий.\nПовышает скорость изготовления предметов из инвентаря на 20%.\nУ рюкзака есть шанс 10% проигнорировать физический урон при ударе.\n\n[DECEA3]AGF Рюкзак Модификация: -7 Перегрузка Slots[-]","Şurada bir yerde olduğundan eminsin.\nYükün ağır gelmeden üç öğe daha taşı.\nEnvanterindeki öğelerin üretim hızını %20 artırır.\nYükün, vurulduğunda %10 ihtimalle fiziksel hasarı yok sayar.\n\n[DECEA3]AGF Sırt Çantası Mod: -7 Ağırlaştın Slots[-]","你知道它就在某个地方。\n在之前的基础上，可再携带三样东西，负重不受影响。\n从物品栏制作物品的速度提升 20%。\n被击中时，背包有 10% 概率免疫物理伤害。\n\n[DECEA3]AGF 背包 模组: -7 负重 Slots[-]","你知道一定在某個地方。\n可額外攜帶 3 個物品而不受負重影響。\n物品欄的物品製作速度提高 20%。\n你的背包有 10% 機率無視一次物理傷害。\n\n[DECEA3]AGF 背包 模組: -7 受阻 Slots[-]"
perkPackMuleRank3LongDesc,progression,perk Str,,,"You know exactly where everything is.\nCarry four additional items without being encumbered.\nIncreases the crafting speed of items from your inventory by 30%.\nYour pack has a 15% chance to ignore physical damage when hit.\n\n[DECEA3]AGF Backpack Mod: -7 Encumbered Slots[-]",,"Du weißt genau, wo du was findest.\nDu kannst vier Gegenstände mehr tragen, bevor du überbelastet wirst.\nErhöht die Fertigungsgeschwindigkeit für Gegenstände aus deinem Inventar um 30 %.\nDein Rucksack hat eine Chance von 15 %, körperlichen Schaden beim Treffer zu ignorieren.\n\n[DECEA3]AGF Rucksack Mod: -7 Überlastet Slots[-]","Sabes exactamente dónde está todo.\nLleva cuatro artículos más sin sobrecargarte.\nAumenta un 30 % la velocidad de fabricación de objetos de tu inventario.\nTu mochila tiene un 15 % de probabilidad de ignorar el daño físico al ser golpeada.\n\n[DECEA3]AGF Mochila Modificaciones: -7 Sobreesfuerzo Slots[-]","Vous savez où chaque chose est rangée.\nVous portez quatre objets supplémentaires sans souffrir d'encombrement.\nAugmentez la vitesse de fabrication des objets depuis votre inventaire de 30 %.\nVous avez 15 % de chance que votre sac ignore les dégâts physiques en cas de blessure.\n\n[DECEA3]AGF Sac à dos Modification: -7 Surchargé Slots[-]","Sai esattamente dove si trova ogni cosa.\nTrasporta 4 oggetti in più senza sovraccaricarti.\nAumenta la velocità di creazione del tuo inventario del 30%.\nIl tuo zaino ha il 15% di probabilità di ignorare i danni fisici se colpito.\n\n[DECEA3]AGF Zaino Mod: -7 Sovraccarico Slots[-]","何がどこにあるのかちゃんと把握しています。\n荷重制限がかかっている所持品スロットを4つ解放します。\n所持品内でのアイテムクラフト速度30%上昇。\nあなたのバックパックが、被弾時に15%の確率ですべてのダメージを吸収してくれます。\n\n[DECEA3]AGF バックパック MOD: -7 荷重制限 Slots[-]","어디에 무엇이 있는지 정확히 알고 계시군요.\n방해받지 않고 4개 더 많은 아이템을 소지할 수 있습니다.\n인벤토리 아이템 제작 속도가 30% 증가합니다.\n나의 팩이 15% 확률로 물리 대미지를 무시합니다.\n\n[DECEA3]AGF 백팩 모드: -7 방해받음 Slots[-]","Doskonale wiesz, gdzie co jest.\nMożesz nosić cztery dodatkowe przedmioty bez przeciążenia.\nZwiększa szybkość wytwarzania przedmiotów z ekwipunku o 30%.\nTwój plecak ma 15% szans na zniwelowanie obrażeń fizycznych po trafieniu.\n\n[DECEA3]AGF Plecak Modyfikacja: -7 Przeciążenie Slots[-]","Você sabe exatamente onde está cada coisa.\nCarregue mais quatro itens sem sofrer sobrecarga.\nAumenta em 30% a velocidade de criação de itens do seu inventário.\nSua mochila tem 15% de chance de ignorar dano físico.\n\n[DECEA3]AGF Mochila Modificação: -7 Sobrecarga Slots[-]","Вы отлично знаете, что где лежит.\nВы можете нести четыре дополнительных предмета без последствий.\nПовышает скорость изготовления предметов из инвентаря на 30%.\nУ рюкзака есть шанс 15% проигнорировать физический урон при ударе.\n\n[DECEA3]AGF Рюкзак Модификация: -7 Перегрузка Slots[-]","Her şeyin yerini iyi biliyorsun.\nYükün ağır gelmeden dört ilave öğe taşı.\nEnvanterindeki öğelerin üretim hızını %30 artırır.\nYükün, vurulduğunda %15 ihtimalle fiziksel hasarı yok sayar.\n\n[DECEA3]AGF Sırt Çantası Mod: -7 Ağırlaştın Slots[-]","你知道所有东西的确切位置。\n在之前的基础上，可再携带四样东西，负重不受影响。\n从物品栏制作物品的速度提升 30%。\n被击中时，背包有 15% 概率免疫物理伤害。\n\n[DECEA3]AGF 背包 模组: -7 负重 Slots[-]","你知道每樣東西放在哪裡。\n可額外攜帶 4 個物品而不受負重影響。\n物品欄的物品製作速度提高 30%。\n你的背包有 15% 機率無視一次物理傷害。\n\n[DECEA3]AGF 背包 模組: -7 受阻 Slots[-]"
perkPackMuleRank4LongDesc,progression,perk Str,,,"You just passed inspection, private.\nCarry four more items without being encumbered.\nIncreases the crafting speed of items from your inventory by 40%.\nYour pack has a 20% chance to ignore physical damage when hit.\n\n[DECEA3]AGF Backpack Mod: -7 Encumbered Slots[-]",,"Inspektion bestanden, Soldat.\nDu kannst vier weitere Gegenstände tragen, bevor du überbelastet wirst.\nErhöht die Fertigungsgeschwindigkeit für Gegenstände aus deinem Inventar um 40 %.\nDein Rucksack hat eine Chance von 20 %, körperlichen Schaden beim Treffer zu ignorieren.\n\n[DECEA3]AGF Rucksack Mod: -7 Überlastet Slots[-]","Acabas de pasar la inspección en privado.\nLleva cuatro artículos más sin sobrecargarte.\nAumenta un 40 % la velocidad de fabricación de objetos de tu inventario.\nTu mochila tiene un 20 % de probabilidad de ignorar el daño físico al ser golpeada.\n\n[DECEA3]AGF Mochila Modificaciones: -7 Sobreesfuerzo Slots[-]","Inspection terminée, soldat.\nVous portez quatre objets supplémentaires sans souffrir d'encombrement.\nAugmentez la vitesse de fabrication des objets depuis votre inventaire de 40 %.\nVous avez 20 % de chance que votre sac ignore les dégâts physiques en cas de blessure.\n\n[DECEA3]AGF Sac à dos Modification: -7 Surchargé Slots[-]","Hai passato l'ispezione, soldato.\nTrasporta 4 oggetti in più senza sovraccaricarti.\nAumenta la velocità di creazione del tuo inventario del 40%.\nIl tuo zaino ha il 20% di probabilità di ignorare i danni fisici se colpito.\n\n[DECEA3]AGF Zaino Mod: -7 Sovraccarico Slots[-]","荷物点検に合格しました。\n荷重制限がかかっている所持品スロットを4つ解放します。\n所持品内でのアイテムクラフト速度40%上昇。\nあなたのバックパックが、被弾時に20%の確率ですべてのダメージを吸収してくれます。\n\n[DECEA3]AGF バックパック MOD: -7 荷重制限 Slots[-]","방금 개인 검사를 통과했습니다.\n방해받지 않고 4개 더 많은 아이템을 소지할 수 있습니다.\n인벤토리 아이템 제작 속도가 40% 증가합니다.\n나의 팩이 20% 확률로 물리 대미지를 무시합니다.\n\n[DECEA3]AGF 백팩 모드: -7 방해받음 Slots[-]","Kontrola przeszła pozytywnie, żołnierzu.\nMożesz nosić cztery dodatkowe przedmioty bez przeciążenia.\nZwiększa szybkość wytwarzania przedmiotów z ekwipunku o 40%.\nTwój plecak ma 20% szans na zniwelowanie obrażeń fizycznych po trafieniu.\n\n[DECEA3]AGF Plecak Modyfikacja: -7 Przeciążenie Slots[-]","Você passou na inspeção, soldado.\nCarregue mais quatro itens sem sofrer sobrecarga.\nAumenta em 40% a velocidade de criação de itens do seu inventário.\nSua mochila tem 20% de chance de ignorar dano físico.\n\n[DECEA3]AGF Mochila Modificação: -7 Sobrecarga Slots[-]","Вы только что прошли проверку, рядовой.\nВы можете нести еще четыре предмета без последствий.\nПовышает скорость изготовления предметов из инвентаря на 40%.\nУ рюкзака есть шанс 20% проигнорировать физический урон при ударе.\n\n[DECEA3]AGF Рюкзак Модификация: -7 Перегрузка Slots[-]","Denetimi başarıyla geçtin asker.\nYükün ağır gelmeden dört öğe daha taşı.\nEnvanterindeki öğelerin üretim hızını %40 artırır.\nYükün, vurulduğunda %20 ihtimalle fiziksel hasarı yok sayar.\n\n[DECEA3]AGF Sırt Çantası Mod: -7 Ağırlaştın Slots[-]","你刚刚通过了私人检查。\n在之前的基础上，可再携带四样东西，负重不受影响。\n从物品栏制作物品的速度提升 40%。\n被击中时，背包有 20% 概率免疫物理伤害。\n\n[DECEA3]AGF 背包 模组: -7 负重 Slots[-]","你剛通過檢查，新兵。\n可額外攜帶 4 個物品而不受負重影響。\n物品欄的物品製作速度提高 40%。\n你的背包有 20% 機率無視一次物理傷害。\n\n[DECEA3]AGF 背包 模組: -7 受阻 Slots[-]"
perkPackMuleRank5LongDesc,progression,perk Str,,,"Now you're showing off! You're either part mule or strongman.\nCarry four more items without being encumbered.\nIncreases the crafting speed of items from your inventory by 50%.\nYour pack has a 25% chance to ignore physical damage when hit.\n\n[DECEA3]AGF Backpack Mod: -8 Encumbered Slots[-]",,"Jetzt gibst du aber an! Du bist entweder halb Esel oder wirklich, wirklich stark.\nDu kannst vier weitere Gegenstände tragen, bevor du überbelastet wirst.\nErhöht die Fertigungsgeschwindigkeit für Gegenstände aus deinem Inventar um 50 %.\nDein Rucksack hat eine Chance von 25 %, körperlichen Schaden beim Treffer zu ignorieren.\n\n[DECEA3]AGF Rucksack Mod: -8 Überlastet Slots[-]","¡Ahora solo estás presumiendo! O eres parte mula o eres puro músculo.\nLleva cuatro artículos más sin sobrecargarte.\nAumenta un 50 % la velocidad de fabricación de objetos de tu inventario.\nTu mochila tiene un 25 % de probabilidad de ignorar el daño físico al ser golpeada.\n\n[DECEA3]AGF Mochila Modificaciones: -8 Sobreesfuerzo Slots[-]","C'est bon, on a compris : soit vous êtes à moitié mule, soit vous êtes très fort.\nVous portez quatre objets supplémentaires sans souffrir d'encombrement.\nAugmentez la vitesse de fabrication des objets depuis votre inventaire de 50 %.\nVous avez 25 % de chance que votre sac ignore les dégâts physiques en cas de blessure.\n\n[DECEA3]AGF Sac à dos Modification: -8 Surchargé Slots[-]","Ora ti stai dando le arie: o sei un mulo da soma oppure un bodybuilder.\nTrasporta 4 oggetti in più senza sovraccaricarti.\nAumenta la velocità di creazione del tuo inventario del 50%.\nIl tuo zaino ha il 25% di probabilità di ignorare i danni fisici se colpito.\n\n[DECEA3]AGF Zaino Mod: -8 Sovraccarico Slots[-]","ここまで来たらもう自慢。半分ラバか怪力なのでしょう。\n荷重制限がかかっている所持品スロットを4つ解放します。\n所持品内でのアイテムクラフト速度50%上昇。\nあなたのバックパックが、被弾時に25%の確率ですべてのダメージを吸収してくれます。\n\n[DECEA3]AGF バックパック MOD: -8 荷重制限 Slots[-]","당신이 노새거나 힘 센 사람이라는 걸 과시하고 계시네요!\n방해받지 않고 4개 더 많은 아이템을 소지할 수 있습니다.\n인벤토리 아이템 제작 속도가 50% 증가합니다.\n나의 팩이 25% 확률로 물리 대미지를 무시합니다.\n\n[DECEA3]AGF 백팩 모드: -8 방해받음 Slots[-]","Weź się nie popisuj! Albo płynie w tobie krew muła, albo strongmana.\nMożesz nosić cztery dodatkowe przedmioty bez przeciążenia.\nZwiększa szybkość wytwarzania przedmiotów z ekwipunku o 50%.\nTwój plecak ma 25% szans na zniwelowanie obrażeń fizycznych po trafieniu.\n\n[DECEA3]AGF Plecak Modyfikacja: -8 Przeciążenie Slots[-]","Agora você só tá se exibindo! Você deve ser mula de carga ou halterofilista.\nCarregue mais quatro itens sem sofrer sobrecarga.\nAumenta em 50% a velocidade de criação de itens do seu inventário.\nSua mochila tem 25% de chance de ignorar dano físico.\n\n[DECEA3]AGF Mochila Modificação: -8 Sobrecarga Slots[-]","Теперь вы просто хвастаетесь. Вы либо наполовину мул, либо цирковой силач.\nВы можете нести еще четыре предмета без последствий.\nПовышает скорость изготовления предметов из инвентаря на 50%.\nУ рюкзака есть шанс 25% проигнорировать физический урон при ударе.\n\n[DECEA3]AGF Рюкзак Модификация: -8 Перегрузка Slots[-]","Bu yaptığına hava atmak denir. Ya çok güçlüsün ya da biraz katırlık var.\nYükün ağır gelmeden dört öğe daha taşı.\nEnvanterindeki öğelerin üretim hızını %50 artırır.\nYükün, vurulduğunda %25 ihtimalle fiziksel hasarı yok sayar.\n\n[DECEA3]AGF Sırt Çantası Mod: -8 Ağırlaştın Slots[-]","现在你就是在炫耀！你要么是半头骡子，要么是一个强人。\n在之前的基础上，可再携带四样东西，负重不受影响。\n从物品栏制作物品的速度提升 50%。\n被击中时，背包有 25% 概率免疫物理伤害。\n\n[DECEA3]AGF 背包 模组: -8 负重 Slots[-]","你現在是背包界的傳奇，不是馱獸就是大力士。\n可額外攜帶 4 個物品而不受負重影響。\n物品欄的物品製作速度提高 50%。\n你的背包有 25% 機率無視一次物理傷害。\n\n[DECEA3]AGF 背包 模組: -8 受阻 Slots[-]"
